texto_sede,apariciones,ciudades_de_esos_ensayos,ncts,urls_clinicaltrials,patron
Site 122,2,La Reina | Santiago,NCT01030783 NCT01076010,https://clinicaltrials.gov/study/NCT01030783 https://clinicaltrials.gov/study/NCT01076010,Site
Site 123,2,La Reina | Santiago,NCT01030783 NCT01076010,https://clinicaltrials.gov/study/NCT01030783 https://clinicaltrials.gov/study/NCT01076010,Site
Administrative office,1,Santiago,NCT01989676,https://clinicaltrials.gov/study/NCT01989676,Administrative office
Chile,1,Santiago,NCT00072462,https://clinicaltrials.gov/study/NCT00072462,Chile
Clincial Study Site,1,Recoleta,NCT03088540,https://clinicaltrials.gov/study/NCT03088540,Clincial
Clinical Study Site,1,Recoleta,NCT03088540,https://clinicaltrials.gov/study/NCT03088540,Clinical Study Site
Exelixis Clinical #263,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #100,1,Santiago,NCT03937219,https://clinicaltrials.gov/study/NCT03937219,Exelixis Clinical
Exelixis Clinical Site #106,1,Providencia,NCT05678673,https://clinicaltrials.gov/study/NCT05678673,Exelixis Clinical
Exelixis Clinical Site #107,1,Providencia,NCT05678673,https://clinicaltrials.gov/study/NCT05678673,Exelixis Clinical
Exelixis Clinical Site #108,1,Providencia,NCT05678673,https://clinicaltrials.gov/study/NCT05678673,Exelixis Clinical
Exelixis Clinical Site #109,1,Providencia,NCT05678673,https://clinicaltrials.gov/study/NCT05678673,Exelixis Clinical
Exelixis Clinical Site #113,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #119,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #139,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #142,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #148,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #247,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #53,1,Providencia,NCT05678673,https://clinicaltrials.gov/study/NCT05678673,Exelixis Clinical
Exelixis Clinical Site #85,1,Santiago,NCT03937219,https://clinicaltrials.gov/study/NCT03937219,Exelixis Clinical
Exelixis Clinical Site #90,1,Providencia,NCT04446117,https://clinicaltrials.gov/study/NCT04446117,Exelixis Clinical
Exelixis Clinical Site #91,1,Santiago,NCT03937219,https://clinicaltrials.gov/study/NCT03937219,Exelixis Clinical
"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon-Fri from 9 AM to 5 PM Eastern Time (UTC/ GMT - 5 hours, EST), or speak with your personal physician",1,Santiago,NCT00191620,https://clinicaltrials.gov/study/NCT00191620,For additional information
Las Condes,1,Santiago,NCT00081796,https://clinicaltrials.gov/study/NCT00081796,Las Condes
Private Office,1,Providencia,NCT00920816,https://clinicaltrials.gov/study/NCT00920816,Private Office
Research Center,1,Santiago,NCT00370383,https://clinicaltrials.gov/study/NCT00370383,Research Center
SITE,1,Santiago,NCT02853604,https://clinicaltrials.gov/study/NCT02853604,SITE
Sandoz Investigational Site 1,1,Santiago,NCT06587451,https://clinicaltrials.gov/study/NCT06587451,Investigational Site
Site 121,1,La Reina,NCT01030783,https://clinicaltrials.gov/study/NCT01030783,Site
Site 25,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site 26,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site 29,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site 32,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site 34,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site 38,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site 40,1,Antofagasta,NCT06525220,https://clinicaltrials.gov/study/NCT06525220,Site
Site Reference ID/Investigator# 36964,1,Temuco,NCT01009593,https://clinicaltrials.gov/study/NCT01009593,Site
Site Reference ID/Investigator# 36967,1,Temuco,NCT01009593,https://clinicaltrials.gov/study/NCT01009593,Site
Tanvex Investigational Site 4001,1,Temuco,NCT03556358,https://clinicaltrials.gov/study/NCT03556358,Investigational Site
Tanvex Investigational Site 4002,1,Temuco,NCT03556358,https://clinicaltrials.gov/study/NCT03556358,Investigational Site
