texto_sede,apariciones,ciudades_de_esos_ensayos,ncts,urls_clinicaltrials
Instituto Oncologico,5,Reñaca | Santiago | Temuco,NCT00542308 NCT00574873 NCT00910910 NCT00974311 NCT01903733,https://clinicaltrials.gov/study/NCT00542308 https://clinicaltrials.gov/study/NCT00574873 https://clinicaltrials.gov/study/NCT00910910
Health & Care SPA,3,Santiago,NCT02366143 NCT02367794 NCT02657434,https://clinicaltrials.gov/study/NCT02366143 https://clinicaltrials.gov/study/NCT02367794 https://clinicaltrials.gov/study/NCT02657434
Instituto Oncologico Ltda.,3,Santiago,NCT00849667 NCT01663727 NCT02003924,https://clinicaltrials.gov/study/NCT00849667 https://clinicaltrials.gov/study/NCT01663727 https://clinicaltrials.gov/study/NCT02003924
Rey y Oreilly Limitada ( Site 1048),3,Santiago,NCT03834493 NCT03834506 NCT03834519,https://clinicaltrials.gov/study/NCT03834493 https://clinicaltrials.gov/study/NCT03834506 https://clinicaltrials.gov/study/NCT03834519
CIDO SpA-Oncology ( Site 0302),2,Santiago,NCT06136650 NCT06353386,https://clinicaltrials.gov/study/NCT06136650 https://clinicaltrials.gov/study/NCT06353386
Centro Oncologico del Norte,2,Antofagasta,NCT02889874 NCT05352672,https://clinicaltrials.gov/study/NCT02889874 https://clinicaltrials.gov/study/NCT05352672
Centro de Cancer Nuestra Senora de la Esperanza ( Site 1063),2,Santiago,NCT03635567 NCT04634877,https://clinicaltrials.gov/study/NCT03635567 https://clinicaltrials.gov/study/NCT04634877
Centro de Investigacion Clinica del Sur,2,Araucania | La Serena,NCT03395197 NCT06629779,https://clinicaltrials.gov/study/NCT03395197 https://clinicaltrials.gov/study/NCT06629779
Clinica IRAM,2,Santiago | Vitacura,NCT02885376 NCT05592938,https://clinicaltrials.gov/study/NCT02885376 https://clinicaltrials.gov/study/NCT05592938
Clinica UC San Carlos de Apoquindo,2,Santiago,NCT05608291 NCT05730036,https://clinicaltrials.gov/study/NCT05608291 https://clinicaltrials.gov/study/NCT05730036
Clinica Vespucio,2,Recoleta | Santiago,NCT03371017 NCT05415215,https://clinicaltrials.gov/study/NCT03371017 https://clinicaltrials.gov/study/NCT05415215
"Faculty of Medicine, University of Chile",2,Santiago,NCT06152367 NCT06556004,https://clinicaltrials.gov/study/NCT06152367 https://clinicaltrials.gov/study/NCT06556004
Instituto Oncologico Clinica Renaca,2,Santiago,NCT00967616 NCT01989676,https://clinicaltrials.gov/study/NCT00967616 https://clinicaltrials.gov/study/NCT01989676
"Instituto Oncologico, Clinica Renaca",2,Reñaca | Santiago,NCT01903733 NCT01989676,https://clinicaltrials.gov/study/NCT01903733 https://clinicaltrials.gov/study/NCT01989676
Universidad de Concepción,2,Concepción,NCT02788214 NCT03188406,https://clinicaltrials.gov/study/NCT02788214 https://clinicaltrials.gov/study/NCT03188406
ACEREY Centro de Investigación Clínica Oncológica,1,Santiago,NCT04987203,https://clinicaltrials.gov/study/NCT04987203
Alejandra Martínez,1,Santiago,NCT04948983,https://clinicaltrials.gov/study/NCT04948983
Barbara Burgos Mansilla,1,Temuco,NCT06148077,https://clinicaltrials.gov/study/NCT06148077
CESFAM El Roble,1,Santiago,NCT02376023,https://clinicaltrials.gov/study/NCT02376023
CESFAM Juan Pablo II,1,Santiago,NCT02376023,https://clinicaltrials.gov/study/NCT02376023
CIDO SpA ( Site 0212),1,Port Montt,NCT06997497,https://clinicaltrials.gov/study/NCT06997497
CIDO SpA ( Site 1509),1,"Recoleta, Santiago",NCT06305767,https://clinicaltrials.gov/study/NCT06305767
