nct,titulo,ciudad_en_la_muestra,sitios_chile,url_clinicaltrials
NCT00034125,Phase 3 Study of LY353381 Vs Tamoxifen in Women With Locally Advanced or Metastatic Breast Cancer.,Las Condes (+1 sitios),2,https://clinicaltrials.gov/study/NCT00034125
NCT00034268,"A Phase 3 Trial of LY900003 Plus Gemcitabine and Cisplatin Versus Gemcitabine and Cisplatin in Patients With Advanced, Previously Untreated Non-Small Cell Lung ",Las Condes,1,https://clinicaltrials.gov/study/NCT00034268
NCT00043927,Extensive Small Cell Lung Cancer Treatment Using An Investigational Drug Plus Chemotherapy In Chemotherapy-Naive Adults,Santiago,1,https://clinicaltrials.gov/study/NCT00043927
NCT00056407,"""REDUCE"" - A Clinical Research Study To Reduce The Incidence Of Prostate Cancer In Men Who Are At Increased Risk",Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00056407
NCT00073307,Study of BAY43-9006 in Patients With Unresectable and/or Metastatic Renal Cell Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00073307
NCT00073528,Study Comparing Lapatinib (GW572016) And Letrozole Versus Letrozole In Subjects With Advanced Or Metastatic Breast Cancer,Santiago (+1 sitios),2,https://clinicaltrials.gov/study/NCT00073528
NCT00075270,Paclitaxel With / Without GW572016 (Lapatinib) As First Line Therapy For Women With Advanced Or Metastatic Breast Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT00075270
NCT00082433,Epothilone (Ixabepilone) Plus Capecitabine Versus Capecitabine Alone in Patients With Advanced Breast Cancer,Santiago,1,https://clinicaltrials.gov/study/NCT00082433
NCT00089999,Lapatinib In Chemotherapy-Naive Or Metastatic Breast Cancer,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT00089999
NCT00099437,Comparison of Fulvestrant (FASLODEX™) 250 mg and 500 mg in Postmenopausal Women With Oestrogen Receptor Positive Advanced Breast Cancer Progressing or Relapsing,Antofagasta (+2 sitios),3,https://clinicaltrials.gov/study/NCT00099437
NCT00105443,A Phase III Study of Sorafenib in Patients With Advanced Hepatocellular Carcinoma,Santiago (+2 sitios),3,https://clinicaltrials.gov/study/NCT00105443
