id,nombre,ciudad,tipo_segun_muestra,alias_en_la_fuente
bradford-hill,Bradford Hill Clinical Research Center,Santiago,Centro de investigación clínica,
falp,Fundación Arturo López Pérez (FALP),Santiago (Providencia),Centro oncológico,
torax,Instituto Nacional del Tórax,Santiago,Hospital público,
james-lind,James Lind Centro de Investigación del Cáncer,Temuco,Centro de investigación clínica,
hosp-concepcion,Hospital Clínico Regional de Concepción,Concepción,Hospital público,
hosp-puerto-montt,Hospital Puerto Montt,Puerto Montt,Hospital público,
puc,Pontificia Universidad Católica de Chile,Santiago,Universidad / red de salud,
k2-oncology,K2 Oncology,Santiago (Providencia),Centro oncológico,
centro-precision,Centro de Oncología de Precisión,Santiago,Centro oncológico,
clinica-alemana,Clínica Alemana Santiago,Santiago,Centro clínico privado,
clinica-las-condes,Clínica Las Condes,Santiago,Centro clínico privado,
orlandi,Orlandi Oncología,Santiago,Centro oncológico privado,
clinica-santa-maria,Clínica Santa María,Santiago,Centro clínico privado,
uandes,Universidad de los Andes,Santiago,Universidad,
ser-chile,Sociedad Chilena de Enfermedades Respiratorias,Santiago,Sociedad científica,
sochradi,Sociedad Chilena de Radiología,Santiago,Sociedad científica,
sochradioterapia,Sociedad Chilena de Radioterapia,Santiago,Sociedad científica,
soc-cirujanos,Sociedad de Cirujanos de Chile,Santiago,Sociedad científica,
uautonoma,Universidad Autónoma de Chile,Talca,Universidad,
uchile,Universidad de Chile,Santiago,Universidad,
uss,Universidad San Sebastián,Concepción,Universidad,
udec,Universidad de Concepción,Concepción,Universidad,
utarapaca,Universidad de Tarapacá,Arica,Universidad,
unab,Universidad Andrés Bello,Santiago,Universidad,
uach,Universidad Austral de Chile,Valdivia,Universidad,
hosp-uchile,Hospital Clínico Universidad de Chile,Santiago,Hospital universitario,
hosp-carabineros,Hospital de Carabineros,Santiago,Hospital institucional,
isp,Instituto de Salud Pública de Chile,Santiago,Organismo público,
oncocentro,Oncocentro APYS,Viña del Mar,Centro con sitio de ensayos clínicos en Chile,ONCOCENTRO APYS | ONCOCENTRO APYS-ACEREY | ONCOCENTRO APYS-ACEREY (Site 0500) | ONCOCENTRO APYS; Oncología | OncoCentro | Oncocentro | Oncocentro APYS | Oncocentro APYS - Centro de Atencion Medica Oncologica Integral | Oncocentro Apys | Oncocentro Valdivia
cic-vina,Centro de Investigaciones Clínicas Viña del Mar,Viña del Mar,Centro con sitio de ensayos clínicos en Chile,Centro de Investigaciones Clinicas Vina Del Mar | Centro de Investigaciones Clinicas Vina del Mar | Centro de Investigaciones Clinicas Vina del Mar Ltda. | Centro de Investigaciones Clinicas Viña del Mar | Centro de Investigaciones Clínicas Vina del Mar | Centro de Investigaciones Clínicas Vina del Mar Ltda. | Centro de Investigaciones Clínicas Viña del Mar | Centro de Investigaciones Clínicas Viñ
saga,Centro de Estudios Clínicos SAGA,Santiago,Centro con sitio de ensayos clínicos en Chile,Centro de Estudios Clinicos SAGA | Centro de Estudios Clinicos SAGA Spa | Centro de Estudios Clinicos Saga Spa | Centro de Estudios Clínicos SAGA | Centro de Estudios Clínicos SAGA (Site 0517) | Centro de Estudios Clínicos SAGA SpA | Centro de Estudios Clínicos SAGA-CECSAGA | Centro de Investigacion Clinica SAGA | Centro de estudios clinicos SAGA | SAGA
